Titulo,Atores,Diretores,Generos
A Glimpse Inside the Mind of Charles Swan III (2012),Charlie Sheen:Jason Schwartzman:Bill Murray:Katheryn Winnick:Patricia Arquette:Aubrey Plaza:Mary Elizabeth Winstead:Dermot Mulroney,Roman Coppola,Comedies:Independent Movies
A Good Wife (2013),Tien Hsin:Christopher Lee:Darren Chiu:Shara Lin:Blaire Chang:Xi Man-Ning:Chu De-Kang,nan,International TV Shows:Romantic TV Shows:TV Dramas
A Gray State (2017),nan,Erik Nelson,Documentaries
A Haunted House (2013),Marlon Wayans:Essence Atkins:Cedric the Entertainer:Nick Swardson:David Koechner:Dave Sheridan:Affion Crockett:J.B. Smoove:Andrew Daly:Alanna Ubach,Michael Tiddes,Comedies:Horror Movies
A Haunting at Silver Falls: The Return (2019),Laura Flannery:James Cavlo:Harry Hains:Clemmie Dugdale:Dendrie Taylor:Bryan Chesters:Jennifer Dorogi:Adam Lazarre-White:Nikita Ramsey,Teo Konuralp,Horror Movies:Independent Movies
A Holiday Engagement (2011),Bonnie Somerville:Shelley Long:Jordan Bridges:Sam McMurray:Haylie Duff:Sam Horrigan:Carrie Wiita:Chris McKenna:Edi Patterson:Jennifer Elise Cox,Jim Fall,Children & Family Movies:Comedies:Romantic Movies
A Kind of Murder (2016),Patrick Wilson:Jessica Biel:Vincent Kartheiser:Haley Bennett:Eddie Marsan:Jon Osbeck:Radek Lord:Christine Dye,Andy Goddard,Crime:Drama:Thriller
A Leaf of Faith (2018),nan,Chris Bell,Documentaries
A Man Called God (2010),Song Il-gook:Han Chae-young:Kim Min-jong:Go Eun Han:Jung Hoon Lee:Nam Da-Reum:Yoo In-young,nan,Crime TV Shows:International TV Shows:Korean TV Shows
A Mission in an Old Movie (2012),Edward:Fifi Abdo:Lotfy Labib:Madeleine Matar:Nahla Zaki:Ahmed Fathy:Said Tarabeek:Badriya Tolba:Eman El-Sayed,Ahmad El-Badri,Comedies:International Movies
A Most Violent Year (2014),Oscar Isaac:Jessica Chastain:David Oyelowo:Albert Brooks:Elyes Gabel:Catalina Sandino Moreno:Christopher Abbott:Peter Gerety:Alessandro Nivola,J.C. Chandor,Dramas:Thrillers
A Murder in the Park (2014),nan,Christopher S. Rech:Brandon Kimber,Documentaries
A new Capitalism (2017),nan,nan,Documentaries:International Movies
A Night at the Roxbury (1998),Will Ferrell:Chris Kattan:Dan Hedaya:Molly Shannon:Richard Grieco:Loni Anderson:Elisa Donovan:Gigi Rice:Lochlyn Munro:Dwayne Hickman,John Fortenberry,Comedies:Cult Movies
A Noble Intention (2015),Gijs Scholten van Aschat:Jacob Derwig:Rifka Lodeizen:Juda Goslinga:Zeb Troostwijk:Elisabeth Hesemans:Joosje Duk,Joram Lürsen,Dramas:International Movies
A Patch of Fog (2015),Stephen Graham:Conleth Hill:Lara Pulver:Arsher Ali:Stuart Graham:Ian McElhinney,Michael Lennox,Dramas:Thrillers
A Perfect Man (2013),Liev Schreiber:Jeanne Tripplehorn:Joelle Carter:Louise Fletcher:Katie Carr:Renée Soutendijk:Huub Stapel:Michael Pas,Kees Van Oostrum,Dramas:Independent Movies:Romantic Movies
A Princess for Christmas (2011),Katie McGrath:Sir Roger Moore:Sam Heughan:Travis Turner:Leilah de Meza:Miles Richardson:Charlotte Salt,Michael Damian,Comedy:Drama:Family:Romance
A Russell Peters Christmas (2011),Russell Peters:Pamela Anderson:Michael Bublé:Jon Lovitz:Scott Thompson:Faizon Love:Goapele:Ted Lange,Henry Sarwer-Foner,Stand-Up Comedy
A Scandall (2016),Johnny Baweja:Reeth Mazumder:Manav Kaul:Tanvi Vyas:Puru Chibber:Vasundhara Kaul:Aayam Mehta:Niraj Sah,Ishaan Trivedi,International Movies:Thrillers
A Separation (2011),Leila Hatami:Peyman Moaadi:Shahab Hosseini:Sareh Bayat:Sarina Farhadi:Babak Karimi:Ali-Asghar Shahbazi:Shirin Yazdanbakhsh:Kimia Hosseini:Merila Zare'i:Sahabanu Zolghadr,Asghar Farhadi,Dramas:International Movies
A Serious Man (2009),Michael Stuhlbarg:Richard Kind:Fred Melamed:Sari Lennick:Adam Arkin:Amy Landecker:Alan Mandell:Fyvush Finkel:Peter Breitmayer:Aaron Wolff:Jessica McManus:Brent Braunschweig,Ethan Coen:Joel Coen,Comedies:Independent Movies
A Sort of Homecoming (2015),Laura Marano:Parker Mack:Katherine McNamara:Marcus Lyle Brown:Shayne Topp:Michelle Clunie:Kathleen Wilhoite,Maria Burton,Dramas:Independent Movies
A Tale of Love and Darkness (2015),Natalie Portman:Gilad Kahana:Amir Tessler:Moni Moshonov:Ohad Knoller:Makram Khoury:Neta Riskin:Alexander Peleg:Rotem Keinan:Tomer Kapon,Natalie Portman,Dramas:International Movies
A Thin Line Between Love & Hate (1996),Martin Lawrence:Lynn Whitfield:Regina King:Bobby Brown:Della Reese:Daryl Mitchell:Roger Mosley:Malinda Williams:Roger E. Mosley:Simbi Khali:Tangie Ambrose:Wendy Raquel Robinson:Stacii Jae Johnson:Faizon Love:Miguel A. Núñez Jr.:Tracy Morgan,Martin Lawrence,Comedies:Romantic Movies
A Thousand Words (2012),Eddie Murphy:Kerry Washington:Cliff Curtis:Clark Duke:Allison Janney:Ruby Dee:John Witherspoon:Jack McBrayer,Brian Robbins,Comedies
A Walk to Remember (2002),Mandy Moore:Shane West:Peter Coyote:Daryl Hannah:Lauren German:Clayne Crawford:Al Thompson,Adam Shankman,Dramas:Romantic Movies
A Wednesday (2008),Anupam Kher:Naseeruddin Shah:Jimmy Shergill:Deepal Shaw:Aamir Bashir:Kali Prasad Mukherjee:Vijay Bhatia:Chetan Pandit,Neeraj Pandey,Action & Adventure:Dramas:International Movies
A Week in Watts (2017),nan,Gregory Caruso,Documentaries
A Wrinkle in Time (2018),Storm Reid:Oprah Winfrey:Reese Witherspoon:Mindy Kaling:Deric McCabe:Levi Miller:Chris Pine:Gugu Mbatha-Raw:Zach Galifianakis:Michael Peña:Bellamy Young:André Holland:Will McCormack:Rowan Blanchard:Daniel MacPherson,Ava DuVernay,Adventure:Family:Fantasy:Sci-Fi
A Young Doctor's Notebook and Other Stories (2013),Daniel Radcliffe:Jon Hamm:Adam Godley:Christopher Godwin:Rosie Cavaliero:Vicki Pepperdine:Margaret Clunie:Tim Steed:Shaun Pye,nan,British TV Shows:TV Comedies:TV Dramas
A.D. Kingdom and Empire (2015),Juan Pablo Di Pace:Adam Levy:Chipo Chung:Babou Ceesay:Emmett Scanlan:Will Thorp:Richard Coyle:Vincent Regan:Greta Scacchi:James Callis:Joanne Whalley:Jodhi May:Chris Brazier:Fraser Ayres:Jóhannes Haukur Jóhannesson:Ken Bones:Kenneth Collard,nan,TV Dramas
A.M.I. (2019),Debs Howard:Philip Granger:Sam Robert Muik:Havana Guppy:Bonnie Hay:Veronica Hampson:Lori Triolo:Andrew Coghlan:Laura Mitchell:Elinet Louicius,Rusty Nixon,Horror Movies
A.X.L. (2018),Alex Neustaedter:Becky G.:Alex MacNicoll:Dominic Rains:Thomas Jane:Lou Taylor Pucci:Patricia De Leon:Niko Guardado:Ted McGinley:Marie-Françoise Theodore:Eric Etebari:Dorian Kingi,Oliver Daly,Action & Adventure:Children & Family Movies:Independent Movies
Aşk Tesadüfleri Sever (2011),Mehmet Günsür:Belçim Bilgin:Ayda Aksel:Altan Erkekli:Sebnem Sönmez:Hüseyin Avni Danyal:Berna Konur:Ümit Bülent Dinçer,Ömer Faruk Sorak,Dramas:International Movies:Romantic Movies
Aadu 2 (2017),Jayasurya:Vinayakan:Sunny Wayne:Vijay Babu:Saiju Kurup:Vineeth Mohan:Unni Rajan P. Dev:Dharmajan Bolgatty:Indrans,Midhun Manuel Thomas,Comedies:International Movies
Aajcha Divas Majha (2013),Sachin Khedekar:Ashwini Bhave:Mahesh Manjrekar:Hrishikesh Joshi:Satish Alekar:Sunil Tawde:Pushkar Shrotri:Anand Ingle,Chandrakant Kulkarni,Comedies:Dramas:International Movies
Aarakshan (2011),Amitabh Bachchan:Saif Ali Khan:Manoj Bajpayee:Deepika Padukone:Prateik:Tanvi Azmi:Saurabh Shukla:Darshan Jariwala:Yashpal Sharma:Mukesh Tiwari,Prakash Jha,Dramas:International Movies
Aashayein (2010),John Abraham:Sonal Sehgal:Prateeksha Lonkar:Girish Karnad:Farida Jalal:Ashwin Chitale:Anaitha Nair:Vikram Inamdar:Vipin Bhali:Poonam Chitale:Nagesh Kukunoor,Nagesh Kukunoor,Dramas:International Movies
Aata Pita (2010),Sanjay Narvekar:Bharat Jadhav:Satish Phulekar:Ashwini Apte,Uttung Shelar,Comedies:Dramas:International Movies
Abby Sen (2015),Abir Chatterjee:Raima Sen:Arunima Ghosh:Priyanka Sarkar:Sujan Mukherjee:Kanchan Mullick:Biswanath Basu:Bhaswar Chatterjee:Swagata Basu:Tuhin Mitra:Paran Banerjee:Kharaj Mukherjee:Chiranjit,Atanu Ghosh,Comedies:Dramas:International Movies
Abdo Mota (2012),Mohamed Ramadan,nan,Action & Adventure:Dramas:International Movies
Abhinetri (2016),Tamannaah Bhatia:Prabhu Deva:Sonu Sood:Sapthagiri:Murli Sharma:R.V. Udhaykumar:Joy Mathew:Hema,A. L. Vijay,Comedies:International Movies:Sci-Fi & Fantasy
Abnormal Summit (2017),Hyun-moo Jun:Si-kyung Sung:Se-yoon Yoo,Jung-ah Im:Seung-uk Jo,International TV Shows:Korean TV Shows:Stand-Up Comedy & Talk Shows
Abominable Christmas (2012),Isabella Acres:Drake Bell:Emilio Estevez:Nolan Gould:Matthew Lillard:Ray Liotta:Jane Lynch:Ariel Winter,Chad Van De Keere,Children & Family Movies:Comedies
About a Boy (2002),Nicholas Hoult:Toni Collette:Victoria Smurfit:Sharon Small:Natalia Tena:Isabel Brook:Hugh Grant:Rachel Weisz:Nicholas Hutchison,Chris Weitz:Paul Weitz,Comedies:Dramas:International Movies
Abzurdah (2015),Eugenia Suárez:Esteban Lamothe:Gloria Carrá:Rafael Spregelburd:Tomás Ottaviano:Julieta Gullo:Zoe Hochbaum:Lucia Carolina Pecrul,Daniela Goggi,Biography:Drama:Romance
Acapulco La vida va (2016),Patricio Castillo:Sergio Bustamante:Alejandro Suárez:Luz María Jerez:Bob Isaacs:Tere Monroy,Alfonso Serrano Maturino,Comedies:Dramas:International Movies
Across The Line (2015),Sarah Jeffery:Simon Paul Mutuyimana:Denis Theriault:Jeremiah Sparks:Steven Love:Cara Ricketts:Jim Codrington:Shamier Anderson:Stephan James:Lanette Ware:Hugh Thompson,Julien Christian Lutz,Dramas:Sports Movies
Across the Universe (2007),Evan Rachel Wood:Jim Sturgess:Joe Anderson:Dana Fuchs:Martin Luther:James Urbaniak:T.V. Carpio:Spencer Liff,Julie Taymor,Drama:Fantasy:History:Music:Musical:Romance
Act of Valor (2012),Keo Woolford:Drea Castro:Emilio Rivera:Rorke Denver:Jason Cottle:Ailsa Marshall:Alex Veadov:Dave:Roselyn Sanchez:Thomas Rosales Jr.:Nestor Serrano:Gonzalo Menendez,Mike McCoy:Scott Waugh,Action & Adventure
Act of Vengeance (2010),Haluk Bilginer:Mahsun Kırmızıgül:Mustafa Sandal:Gina Gershon:Robert Patrick:Danny Glover:Engin Altan Düzyatan:Scott William Winters:Sharrieff Pugh,Mahsun Kırmızıgül,Action & Adventure:International Movies
Acts of Violence (2018),Cole Hauser:Bruce Willis:Shawn Ashmore:Ashton Holmes:Melissa Bolona:Patrick St. Esprit:Sophia Bush:Mike Epps,Brett Donowho,Action & Adventure
Adam Ruins Everything (2018),Adam Conover:Adam Lustick:Emily Axford,nan,TV Comedies
Addicted to Life (2014),Antoine Bizet:Jesse Richman:Karsten Gefle:Wille Lindberg:Matahi Drollet:Mathias Wyss:Matt Annetts,Thierry Donard,Action & Adventure:Documentaries:International Movies
Adore (2013),Naomi Watts:Robin Wright:Xavier Samuel:James Frecheville:Ben Mendelsohn:Jessica Tovey:Sophie Lowe:Gary Sweet:Alyson Standen:Skye Sutherland:Sarah Henderson,Anne Fontaine,Dramas:Independent Movies:International Movies
Adrishya (2017),Ravi Kumar:Ayesha Singh:Nishat Mallick:Archana Kotwal:Rakesh Chaturvedi Om:Nidhi Mahavan:Abhijit Sinha:Abdur Rehman,Sandeep Chatterjee,Horror Movies:Independent Movies:International Movies
Adventures in Public School (2018),Daniel Doheny:Judy Greer:Siobhan Williams:Russell Peters:Grace Park:Andrew McNee:Alex Barima:Andrew Herr:Eva Day:Josh Epstein,Kyle Rideout,Comedies
Africa (2013),David Attenborough,nan,British TV Shows:Docuseries:International TV Shows
After Porn Ends (2012),nan,Bryce Wagoner,Documentaries
After Porn Ends 3 (2018),nan,Brittany Andrews,Documentaries
Afterschool (2008),Ezra Miller:Addison Timlin:Jeremy Allen White:Michael Stuhlbarg:Emory Cohen:David Costabile:Rosemarie DeWitt:Dariusz M. Uczkowski:Gary Wilmes:Paul Sparks:Alexandra Neil:Lee Wilkof,Antonio Campos,Dramas:Independent Movies
Aftershock (2012),Eli Roth:Andrea Osvárt:Ariel Levy:Natasha Yarovenko:Nicolás Martínez:Lorenza Izzo:Marcial Tagle:Ramón Llao:Ignacia Allamand:Paz Bascuñán,Nicolás López,Action & Adventure:Horror Movies
Agatha and the Truth of Murder (2018),Ruth Bradley:Pippa Haywood:Dean Andrews:Bebe Cave:Blake Harrison:Tim McInnerny:Ralph Ineson:Michael McElhatton,Terry Loane,Dramas
Age Gap Love (2017),Fay Ripley,nan,British TV Shows:Reality TV:Romantic TV Shows
Age of Glory (2010),Debbie Goh:Aenie Wong:Frederick Lee:Leslie Chai,nan,International TV Shows:Romantic TV Shows:TV Dramas
Agent Raghav (2015),Sharad Kelkar:Aahana Kumra:Mahesh Manjrekar:Deepali Pansare:Danish Pandor:Jason Tham:Reena Aggarwal:Swati Rajput,nan,Crime TV Shows:International TV Shows:TV Action & Adventure
Ahista Ahista (2006),Abhay Deol:Soha Ali Khan:Shayan Munshi:Kamini Khanna:Sohrab Ardeshir:Murad Ali:Shakeel Khan:Natasha Sinha:Brijendra Kala,Shivam Nair,Dramas:International Movies:Romantic Movies
Ai Weiwei: Never Sorry (2012),Ai Weiwei:Lao Ai,Alison Klayman,Documentaries
Ainsley Eats the Streets (2014),Ainsley Harriott,nan,British TV Shows:Docuseries:International TV Shows
Aisa Yeh Jahaan (2015),Palash Sen:Ira Dubey:Yashpal Sharma:Tinnu Anand:Prisha Dabbas:Kymsleen Kholie:Satish Sharma,Biswajeet Bora,Dramas:Independent Movies:International Movies
Aitraaz (2004),Akshay Kumar:Kareena Kapoor:Priyanka Chopra:Amrish Puri:Paresh Rawal:Annu Kapoor,Abbas Alibhai Burmawalla:Mastan Alibhai Burmawalla,International Movies:Music & Musicals:Romantic Movies
Alarmoty in the Land of Fire (2017),nan,Ahmad El-Badri,Comedy
Albion: The Enchanted Stallion (2016),Daniel Sharman:Jennifer Morrison:Debra Messing:Stephen Dorff:John Cleese:Liam McIntyre:Richard Kind:Avery Arendes:Castille Landon,Castille Landon,Action:Adventure:Comedy:Family:Fantasy
Alejandro Sanz: What I Was Is What I Am (2018),Alejandro Sanz,Óscar García Blesa:Gervasio Iglesias:Alexis Morante,Documentary:Music
Alice Doesn't Live Here Anymore (1974),Ellen Burstyn:Kris Kristofferson:Billy Green Bush:Diane Ladd:Harvey Keitel:Lelia Goldoni:Lane Bradbury:Vic Tayback:Jodie Foster:Alfred Lutter,Martin Scorsese,Classic Movies:Comedies:Dramas
Alien Contact: Outer Space (2017),J. Michael Long,J. Michael Long,Documentaries
Aliens Ate My Homework (2018),William Shatner:Dan Payne:Kirsten Robek:Ty Consiglio:Sean McNamara:Christian Convery:Jayden Greig:Lauren McNamara:Alex Zahara:Sandy Robson,Sean McNamara,Children & Family Movies:Comedies:Sci-Fi & Fantasy
Alive and Kicking (2016),nan,Susan Glatzer,Documentaries
All About Nina (2018),Mary Elizabeth Winstead:Common:Kate del Castillo:Chace Crawford:Jay Mohr:Beau Bridges:Clea DuVall:Melonie Diaz:Camryn Manheim:Mindy Sterling:Angelique Cabral:Nicole Byer:Todd Louiso:Elizabeth Masucci:Sonoya Mizuno:Charlotte Newhouse:Victor Rasuk:Andree Vermeulen,Eva Vives,Comedies:Dramas:Independent Movies
All Dogs Go to Heaven (1989),Dom DeLuise:Burt Reynolds:Daryl Gilley:Candy Devine:Charles Nelson Reilly:Vic Tayback:Melba Moore:Judith Barsi:Rob Fuller:Earleen Carey:Anna Manahan:Nigel Pegram:Loni Anderson:Ken Page:Godfrey Quigley,Don Bluth:Gary Goldman:Dan Kuenster,Children & Family Movies
All Good Ones Get Away (2019),Claire Forlani:Jake Abel:Titus Welliver:Melina Matthews,Víctor García,International Movies:Thrillers
All Hallows' Eve (2016),Lexi Giovagnoli:Ashley Argota:John DeLuca:Diane Salinger:Martin Klebba:Tracey Gold:Dee Wallace:Pilot Paisley-Rose:Daniel Cooksley:Vincent Giovagnoli:Dillon Cavitt,Charlie Vaughn,Children & Family Movies:Independent Movies
All Light Will End (2018),Ashley Pereira:Alexandra Harris:Ted Welch:Sam Jones III:Sarah Butler:Andy Buckley:Graham Outerbridge:Michael James Thomas:John Schuck:Aaron Munoz,Chris Blake,Horror Movies:Thrillers
All the Boys Love Mandy Lane (2006),Anson Mount:Edwin Hodge:Michael Welch:Brooke Bloom:Amber Heard:Aaron Himelstein:Whitney Able:Luke Grimes:Melissa Price,Jonathan Levine,Horror Movies
All the Devil's Men (2018),Milo Gibson:Sylvia Hoeks:Gbenga Akinnagbe:William Fichtner:Joseph Millson:Elliot Cowan:Perry Fitzpatrick:Warren Rusher,Matthew Hope,Action & Adventure
Alone in Berlin (2016),Emma Thompson:Brendan Gleeson:Daniel Brühl:Monique Chaumette:Joachim Bissmeier:Katrin Pollitt:Lars Rudolph:Uwe Preuss:Daniel Sträßer:Rainer Reiners:Mikael Persbrandt,Vincent Perez,Dramas
Along Came a Spider (2001),Morgan Freeman:Monica Potter:Michael Wincott:Dylan Baker:Mika Boorem:Anton Yelchin:Kim Hawthorne:Jay O. Sanders:Billy Burke:Michael Moriarty:Penelope Ann Miller,Lee Tamahori,Thrillers
Alpha and Omega 2: A Howl-iday Adventure (2013),Ben Diskin:Kate Higgins:Blackie Rose:Lindsay Torrance:Liza West:Tracy Pfau:Bill Lader:Meryl Leigh:Shaun Gerardo,Richard Rich,Children & Family Movies
Alpha and Omega: The Legend of the Saw Tooth Cave (2014),Debi Derryberry:Ben Diskin:Kate Higgins:Lindsay Torrance:Larry Thomas:Bill Lader:Cindy Robinson,Richard Rich,Animation:Action:Adventure:Comedy:Drama:Family:Fantasy:Thriller
Alphablocks (2014),Teresa Gallagher:David Holt:Lizzie Waterworth,nan,Kids' TV
AlphaGo (2017),nan,Greg Kohs,Documentaries
Always a Bridesmaid (2019),Javicia Leslie:Jordan Calloway:Richard Lawson:Yvette Nicole Brown:Michelle Mitchenor:Amber Chardae Robinson:Jasmin Brown,Trey Haley,Comedies:Romantic Movies
Amar Akbar & Tony (2015),Rez Kempton:Sam Vincenti:Martin Delaney:Karen David:Laura Aikman:Goldy Notay:Meera Syal:Nina Wadia:Tanveer Ghani:Amrita Acharia,Atul Malhotra,Comedies:Dramas:International Movies
Amar Akbar Anthony (1977),Vinod Khanna:Rishi Kapoor:Amitabh Bachchan:Neetu Singh:Parveen Babi:Shabana Azmi:Nirupa Roy:Pran,Manmohan Desai,Action & Adventure:Classic Movies:Comedies
Amar's Hands (2011),Ghadah Abdulrazeq:Wafaa Amer:Hassan El Raddad:Houria Farghally:Sabry Fawwaz,Khaled Youssef,Dramas:International Movies
America's Book of Secrets (2014),Jonathan Adams,nan,Docuseries
American Anarchist (2016),William Powell,Charlie Siskel,Documentaries
American Assassin (2017),Dylan O'Brien:Michael Keaton:Sanaa Lathan:Shiva Negar:Taylor Kitsch:Trevor White:Navid Negahban:Scott Adkins:David Suchet:Sydney Rae White,Michael Cuesta,Action:Thriller
American Beauty (1999),Kevin Spacey:Annette Bening:Thora Birch:Wes Bentley:Mena Suvari:Chris Cooper:Peter Gallagher:Allison Janney:Scott Bakula:Sam Robards,Sam Mendes,Dramas
American Circumcision (2017),nan,Brendon Marotta,Documentaries
American Crime (2017),Felicity Huffman:Timothy Hutton:Elvis Nolasco:Regina King:Lili Taylor:Richard Cabral:Brent Anderson:Benito Martinez:Shane Jacobsen:W. Earl Brown:Caitlin Gerard:Penelope Ann Miller:Johnny Ortiz,nan,Crime TV Shows:TV Dramas
American Experience: Ruby Ridge (2017),Dave Hunt:Bo Gritz:Sara Weaver,Barak Goodman,Documentaries
American Experience: The Circus (2018),nan,Sharon Grimberg,Docuseries
American Experience: The Island Murder (2018),Blair Brown,Mark Zwonitzer,Documentaries
American Hangman (2019),Donald Sutherland:Vincent Kartheiser:Oliver Dennis:Paul Braunstein:Paul Amato:Matt Baram:Dan Beirne:Joanne Boland:Jamie Jacqueline Burns:Alexander Crowther,Wilson Coneybeare,Thrillers
American Heist (2014),Hayden Christensen:Adrien Brody:Jordana Brewster:Tory Kittles:Akon:Luis Da Silva Jr.:Lance E. Nichols:Joe Chrest,Sarik Andreasyan,Action & Adventure:Dramas
American History X (1998),Edward Norton:Edward Furlong:Beverly D'Angelo:Jennifer Lien:Ethan Suplee:Fairuza Balk:Avery Brooks:Elliott Gould:Stacy Keach:William Russ:Guy Torry,Tony Kaye,Dramas
American Honey (2016),Sasha Lane:Shia LaBeouf:Riley Keough:McCaul Lombardi:Arielle Holmes,Andrea Arnold,Dramas:Independent Movies
American Masters: Ted Williams (2018),Ted Williams,Nick Davis,Documentaries:Sports Movies
American Odyssey (2015),Anna Friel:Peter Facinelli:Jake Robinson:Jim True-Frost:Treat Williams:Sadie Sink:Omar Ghazaoui:Nate Mooney:Elena Kampouris:Daniella Pineda:Adewale Akinnuoye-Agbaje,nan,TV Dramas:TV Thrillers
American Psycho (2000),Christian Bale:Willem Dafoe:Jared Leto:Reese Witherspoon:Samantha Mathis:Chloë Sevigny:Justin Theroux:Josh Lucas:Matt Ross:Bill Sage:Cara Seymour:Guinevere Turner,Mary Harron,Comedies:Cult Movies:Dramas
American Warfighter (2019),Jerry G. Angelo:Paul Logan:Joshua Santana:Carolina Castro:David Robbins:Michael King:Tom Crisp:Jennifer Marshall:Victoria Clare:Ryan Baumann:Isaac C. Singleton Jr.:Said Faraj,Jerry G. Angelo,Dramas
Amy (2015),Amy Winehouse:Lauren Gilbert,Asif Kapadia,Documentaries:International Movies:Music & Musicals
An American in Madras (2013),nan,Karan Bali,Documentaries:International Movies
An American Tail (1986),Erica Yohn:Nehemiah Persoff:Amy Green:Phillip Glasser:Christopher Plummer:John Finnegan:Will Ryan:Hal Smith:Dom DeLuise:Madeline Kahn,Don Bluth,Children & Family Movies
An American Tail: Fievel Goes West (1991),Philip Glasser:James Stewart:Erica Yohn:Cathy Cavadini:Nehemiah Persoff:Dom DeLuise:Amy Irving:John Cleese:Jon Lovitz,Phil Nibbelink:Simon Wells,Children & Family Movies
An American Tail: The Mystery of the Night Monster (1999),Thomas Dekker:Lacey Chabert:Jane Singer:Nehemiah Persoff:Susan Boyd:Robert Hays:Pat Musick:Dom DeLuise:Candi Milo:Jeff Bennett,Larry Latham,Children & Family Movies
An American Tail: The Treasures of Manhattan Island (2000),Thomas Dekker:Dom DeLuise:Pat Musick:Nehemiah Persoff:Erica Yohn:Lacey Chabert:Elaine Bilstad:Rene Auberjonois:David Carradine:Sherman Howard:Tony Jay:Richard Karron:John Kassir:Ron Perlman,Larry Latham,Children & Family Movies
An Hour and a Half (2012),Eyad Nassar:Ahmed Bedir:Fathy Abdel Wahab:Sawsan Badr:Maged El Kedwany:Tarek Abdel Aziz:Karima Mokhtar:Yousra El Lozy:Somaya El Khashab:Mohamed Emam,Wael Ehsan,Dramas:International Movies
An Innocent Mistake (2012),Jason Wang:Mathilde Lin:Mo Tzu Yi:Xi Man-Ning:Lin Mei-hsiu:Kelly Huang:Joy Pan,nan,International TV Shows:Romantic TV Shows:TV Dramas
An Interview with God (2018),Brenton Thwaites:David Strathairn:Hill Harper:Charlbi Dean:Yael Grobglas,Perry Lang,Dramas:Faith & Spirituality
